Plate,Customer_meaning,Reviewer_comments
V POKER,VIDEO POKER,VAGINA POKER? POKER VAGINA? VIDEO POKER
AMATERU,NO MICRO,"NOT SURE WHAT IT MEANS BUT IT BROUGHT UP A LOT OF PORN SITES ON GOOGLE. PORN SHOWN UNDER THE ""VIDEO"" CATEGORY BUT NOTHING BAD UNDER THE ""IMAGES"" CATEGORY"
BAC DOR,LAST ONE IN LINE,BACK DOOR… SEXUAL?
DON’T H8T,TO BE KIND AND LOVE EVERYONE,HATE
P9OD FTW,"CAR MODEL IS TESLA MODEL S P90D. FTW STANDS FOR ""FOR THE WIN"" WHICH IS COMMONLY USED ONLINE TO EXPRESS SOMETHING THAT IS THE BEST",FUCK THE WORLD
45 GLOCK,NO MICRO,GLOCK. GUN
MDR LIVN,MARINA DEL REY LIVING,MURDER LIVIN'. CUSTOMER LIVES IN MARINA DEL REY. ON A WHALE TAIL PLATE
AMZ TFF,NICKNAME,TFF-THAT’S FUCKING FUNNY
BIG BNR,SIGN COMPANY CALLED BIG BANNER,BIG BEANER
BIYOTCH,I AM A GAY MAN AND I AM PROUD,BITCH
CHAMP14,KEVIN HARVICK NASCAR CHAMP 2014,14-HITLER
CRZY ACR,CRAZY FAST DODGE VIPER ACR,ACR IS A RIFLE
DZZ NTZ,TRIBUTE TO OLDER CAR,DEEZ NUTS
F TURBOS,F IS THE FIRST LETTER OF MY FIRST NAME, WHICH IS FABRICE.,FUCK TURBOS
F UPFORD,NAME INITIAL FORD,FUCK UP FORD
H8 UCLA,H8-MY NICKNAME,HATE
JKUR 13,MODEL AND YEAR OF MY JEEP WRANGLER,13-GANG
LKY13JJ,LUCKY YEAR 2013,LUCKY 13
MADBALS,MUSCLE CAR,MAD BALLS
MNKY BOY,THIS IS A NICKNAME AND ALSO THE NAME OF OUR BUSINESS. MONKEYBOY INDUSTRIES,MONKEY BOY…. OFFENSIVE?
OMY2FYB,NAME INITIALS,FUCK YOU BITCH
PIE VAN,WE LOVE APPLE, CHERRY, BLUEBERRY AND PUMPKIN PIE,PUSSY VAN?
SQUAD G,GADBERRY FAMILY,G- LAST NAME IS GADBERRY
THUGRMY,THUG ARMY,THUG ARMY
TTYL B,TALK TO YOU LATER BRO,TALK TO YOU LATER BITCH
UCLA SUC,UCLA=SUCCESS,UCLA SUCKS
UROTRSH,EURO TRASH,EURO TRASH
VAS 69,"""VAS"" IS SHORT FOR VASKEN WHICH IS THE NAME OF OWNER OF A '69 CHEVY IMPALA",COULDN'T VERIFY 1969 VEHICLE
WZSTRPR,WISE STRIPER,WISE STRIPPER
YAYO M12,MY NICKNAME AND BIRTHDAY,YAYO-COCAINE
YEYO TOY,SERGIOS TOY,YEYO- COCAINE
8O5 C1O,8O5 BEER AND C10 CHEVY PICKUP,8O5 CA AREA CODE
$GLOCK29,HEART GLOCK 29,GLOCK-GUN
CB HO,COLDWELL BANKER HEATHER OSTROM,HO
RR88RS,RAIDERS,88-HITLER
ECBMF,ERIN CATHERINE BRAUN MASTER OF FINANCE DEGREE,ECB-CUSTOMERS INITIALS. MF-MOTHER FUCKER
BRAR 13,BRAR YOURS,13-GANG
NEED FWB,INSIDE JOKE,NEED FRIEND WITH BENEFITS
PSSTGFY,PSST… GOOD FOR YOU,PSST GO FUCK YOURSELF
WHTWDOW,NICKNAME FOR CAR,WEED
AIM LOW,NO MICRO AVAILABLE,AIM LOW ..GENITAL PUNCH
FAMILY G,NO MICRO AVAILABLE,G AS IN GANGSTER.. CUSTOMER LAST NAME STARTS WITH A G
FITE ME,NO MICRO AVAILABLE,FIGHT ME
H8CODE B,NO MICRO AVAILABLE,HATE
LIL MNKY,NO MICRO AVAILABLE,MONKEYSLANG FOR VAGINA OR USED AS A DEROGATORY TERM FOR AFRICAN AMERICAN
NO PLN B,NO MICRO AVAILABLE,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION
R3A3I1B,NO MICRO AVAILABLE,CAN NOT TRANSLATE NO MICRO
SYD BTCH,NO MICRO AVAILABLE,SIDE BITCH
$SHACK,NO MICRO AVAILABLE,LOVE SHACK
KAVI911,NO MICRO AVAILABLE,KAVI IS ANOTHER NAME FOR DRUGS 911 EMERGENCY
K8KSAWD,NO MICRO AVAILABLE,LOOKS LIKE SAWED..
NH4CLO4,NO MICRO AVAILABLE,CAN NOT TRANSLATE NO MICRO
BI8U,,LOOKS LIKE BITCH I ATE YOU LIKE A RACING TERM
BPEW PEW,MY NAME,PEW PEW GUN SOUND
CLAMG14,CLA - MERCEDES BENZ MODELAMG - MERCEDES BENZ DIV 2014 - YEAR BOUGHT,14 GANG REFERENCE
DMB4EVR,DAVE MATTHEWS BAND FOREVER,DUMB FOREVER
DMITDEB,,DAMN IT DEB
DUSTY 14,NAME AND YEAR OF BIRTH OF CHILD,14 GANG REFERENCE
FHRITP1,ACRONYM FROM A YOUTUBE VIDEO,FUCK HER RIGHT IN THE PUSSY
FTW1970,FOR THE WIN 1970 (MY 1970 DODGE CHALLENGER),FUCK THE WORLD
HD SMKY,ITS A CHEVY HD2500 4X4 TRUCK WITH SMOKE GRAPHICS,SMOKY
HERZWRK,"SHORT FOR THE GERMAN ""HERZWERK"", A TERM LOOSELY TRANSLATED AS ""HEART WORK"", OR WORK OF THE SOUL",HERS WORK
IAM A415,I AM A 415 (PUBLIC DISTURBANCE),415 AREA CODE
IEGT3PR,no micro,
JI88Y 9,,88 HITLER REFERENCE
KATTS,KATHYS,CAT
LAKR GNG,LAKER FAN AND IT REPRESENTS A LAKER FAMILY WITH THE INITIALS OF MY FAMILY ON THE END,GANG
OBEACHN,,LOOKS LIKE O BITCHIN
OMW2FYH,NO SPECIFIC MEANING,ON MY WAY TO FUCK YOUR ?
QWIK M3,QUICK M3,
RTFATAL,,FATAL
SHTF,PERSONAL NICKNAME,SHIT HITS THE FAN
SLAV ONE,STAR WARS VEHICLE FROM THE MOVIES,SLAVE
SMKD 88,,88 HITLER REFERENCE
SWTASME,SWEET AS ME,SWEET AS ME
SYZL D,LOVE,SIZZLE D
TAKEDWN,I'M A WRESTLING COACH. TAKEDOWNS ARE HOW YOU GET POINTS...2 FOR TAKEDOWN,TAKE DOWN
THE PLMN,,THE PILL MAN
TYE FTR,,THAI FIGHTER
WGNS FTW,WAGONS FOR THE WIN - I'M A DIE-HARD STATION WAGON GUY,FUCK THE WORLD
ZO6 HUTR,CORVETTE Z06 HUNTER,LOOKS LIKE ZO6 HUNTER
IF2W COM,,CAN NO TRANSLATE OR FIND A WEBSITE
3BX 415,3BX IS THE FIRST PART OF MY EXISTING PLATE. 415, BECAUSE IS MY AREA CODE.,415 AREA CODE
442 67,,442 AREA CODE
$KRISH G,,G AS IN GANGSTER
RBY&RED,COLOR OF CAR,RED
&WRZ5OI,STAR WARS FAN CLUB,LOOKS LIKE STAR WARS
Z14TAHO,TO VISIT OUR LAKE TAHOE HOME,14 GANG REFERENCE
1BAR3,,13 GANG REFERENCE
BDKTYKC,BAD KITTY KASEY,BAD KITTY
BLU CRZN,I HAVE A 2012 BLUE CHEVY CRUZE,BLUE CRUISIN
BLU LOJ,MASONS BLUE LODGE,BLUE
CARE 415,COMPANY NAME,415 AREA CODE(HOWEVER THIS IS A BUSINESS AND THEY ARE ALSO ORDERING CARE 412-416
CARGASM,MEANS THAT THE CAR IS FAST AND PLEASURE TO DRIVE ON THE ROAD,AS IN ORGASM BECAUSE OF A NICE CAR
COUKOO,,AS IN CRAZY
IAM1DAF,I AM ONE DIRECTION ALWAYS AND FOREVER,I AM ONE DRUNK AS FUCK
KTNPNTS,"MY WIFE IS A VETERINARIAN AND CALLS ALL CATS ""KITTEN PANTS""",KITTEN PANTS
RED RBEL,RED REBEL,RED REBEL
SKYE BLU,NAME OF JEEPS COLOR,BLUE
HELOQWK,HELLO QUINCY WILLIAM KHACHATRYAN,LOOKS LIKE HELLA QUICK
SNOTHOT,,SNOT HOT , OR SNOW THOT
THUGGIN,T HUGGINS FRIENDS CALL ME HUGGIE BEAR AS A PLAY ON WORDS FOR MY NAME HIGGINS,THUG…
BB PLYM,NO MICRO AVAILABLE,LOOKS LIKE 88 PLYMOTH
BDS A1,BEST DELIVERY SERVICE ARCE1,LOOKS LIKE BAD ASS A1
BIGG G,ME BEING A BIG GRABLE,BIG GANGSTER
BLU SHOE,"BLUE BMW ""CLOWNSHOE"" COUPE",BLUE SHOE
CALI 323,MY STATE OF RESIDENTIAL AND MY CITY ZIP CODE,323 AREA CODE
CALI 626,NO MICRO AVAILABLE,626 AREA CODE
CA YEYO,CLUB AMERICA - AURELIO'S NICK NAME,YEYO IS COCAINE
CUPGANG,CUPGANT IS A AUTOMOTIVE GROUP OF PEOPLE WHO LOVES CARS.,GANG
EFJAY,"PHONETIC SPELLING OF THE LETTERS ""F"" AND ""J"". WHICH IS THE MODEL NAME OF THE INTENDED AUTO.",FUCK JAY
FN 2I87,FN 2I187 IS A CHARACTER IN STAR WARS,FN LOOKS LIKE FUCKIN
G FOLK,MY CAR CLUB, GERMAN FOLKS,G AS IN GANGSTER
GIGITTE,NICKNAME,GIGITTY
GOCMNDO,THIS IS FOR A JEEP WHICH WAS ORIGINALLY A MILITARY VEHICLE. A COMMANDO WAS ORIGINALLY A TYPE OF COMBAT UNIT,GO COMANDO.. UNDERWEAR LESS
G PESOS,NO MICRO AVAILABLE,G AS IN GANGSTER
HNYBUNZ,HONEYBUNZ ITS MY NICKNAME,HONEY BUN OR BUNS AS IN BUTT
HULK818,FAVORITE CARTOON,818 ARA CODE
IMBLAZE,I'M BLAZE (BLASDEL),BLAZE AS IN SMOKE WEED
KTRASH8,NICKNAME OF MY COUNTRY,TRASH.. COULD BE DIRECTED AT SOMEONE
LANJ14,NO MICRO AVAILABLE,14 GANG REFERENCE
LA71OSS,MY SHOPS NAME AND THE TRUCK OF MY NAME,710 AREA CODE
LT M UP,LITE UM UP,LIGHT EM UP, COULD REFER TO SHOOTING FIGHTING OR DRUGD
MATYCAT,MATTHEW + CLAUDIA,CAT
MEOWZZZ,I LOVE CATS!!,MEOW CAT REFERENCE
MGUNZZZ,MASTER GUNNERY SERGEANT USMC,GUN
MLKWEED,NO MICRO AVAILABLE,WEED
PAPPY G,GRANDPA GREG,G AS IN GANGSTER
TYFTR,NAME OF THE SPACESHIPS FROM STAR WARS (TIE FIGHTER).,FTR LOOKS LIKE FIGHTER
14U 2PAY,NO MICRO AVAILABLE,14 GANG REFERENCE
8 ATUM 8,MY FAVOROTE NUMBER IS 8 AND ATUM IS THE EGIPTIAN GOD OF CREATION. I THINK IS COOL,88 HITLER REFERENCE
889 88,NO MICRO AVAILABLE,88 HITLER REFERENCE
COSHINO,NO MICRO AVAILABLE,LOOKS LIKE COCHINO WHICH MEANS PIG
SUWEEE,NO MICRO AVAILABLE,THE CALLING OF A PIG (PIG CALL)
ZED DED,NO MICRO AVAILABLE,DEAD
KLN$ROB,KALIN LOVES ROBERT,KLN LOOKS LIKE KILLING
UM$CANE,NO MICRO AVAILABLE,UM LOVES CANE .. CANE IS ANOTHER WORD FOR PENIS
RVRRED,RIVER RED,RED
BTY PTRN,NO MICRO AVAILABLE,BTY LOOKS LIKE BOOTY
DUDU SML,NO MICRO AVAILABLE,DOO DOO SMALL
G DAGHER,NO MICRO AVAILABLE,G AS IN GANGSTER DAGHER LOOKS LIKE DAGGER
JLP MFG,NO MICRO AVAILABLE,MFG MOTHERFUCKING GANGSTER
JLP MFG1,NO MICRO AVAILABLE,JLP MOTHERFUCKING GANGSTER (JLP MANUFACTURING IS THE COMPANY NAME FOR THIS ORDER)
MF VAPE,COMPANY NAME,MOTHER FUCKING .. VAPE SMOKE
MNI CAKS,NICK NAME FOR MONICA IS MONICAKES BUT THAT WAS THE CLOSEST WE COULD FIND,CAKES ANOTHER WORD FOR BUTT
RDGDMSL,REDDING DAMSEL,MSL LOOKS LIKE MISSLE
X RATED,VEHICLE MODEL,X RATED PORN
BRAP,THE NOISE A MOTORCYCLE MAKES,THE SOUND A GUN MAKES
RAVNRED,MY NICKNAME FOR 20 YEARS HAS BEEN RAVENINRED BECAUSE I USED TO WEAR REDO CORSETS AND HAVE BLACK HAIR AND GO TO GOTH CLUBS,RED
WGLY BUT,,WIGGLY BUTT
DCKHEAD,HEAD OF THE DOPE CAR KLUB,DICKHEAD
FALCN 18,IT READS FALCON EIGHTEEN AS IN FALCONITIN, MY LAST NAME.,18-HITLER
FUCKK IT,MY DAUGHTERS PET NAME,SELF EXPLANITORY
HPPYKLR,HAPPY KLR. I PLAN ON TOWING A KAWASAKI KLR 650 WITH MY JEEP,HAPPY KILLER
OCHEITT,NO MICRO,OH SHIT
OGE3OM3,CAR MODEL AND BODY STYLE BMW E30 M3,OG
SHANKFL,SHANKFUL,SHANK. CUSTOMERS LAST NAME IS SHANK
SUPERDD,NICKNAME GIVEN TO OWNER BY FATHER WHO PASSED AWAY. THIS IS IN HIS MEMORY,DD. DOUBLE D'S?
WHYU H8N,SONG,HATE
818 LAND,NO MICRO,818 CA AREA CODE
6O3,AREA CODE OF STATE I WAS BORN IN AND RECRUITED FROM,603 CA AREA CODE
AF WAGON,NO MICRO,AS FUCK WAGON?
DOCOFBA,MY NICKNAME,DOCTOR OF BADASS
NACLBLS,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT,NACL IS SCIENTIFIC TERM FOR SALT… SALT BALLS?
GS14BBY,NO MICRO,14-HITLER
SSTAR13,NICKNAME IS SUPERSTAR FOR DAUGHTER,13-GANG
ALL BLKS,NEW ZEALAND RUGBY TEAM,RACIAL? WHAT THEY SAY IS TRUE
AUW13 88,NAME, FAVORITE NUMBER, YEAR BORN,13 N 88- GANG N HITLER RELATED
BEACHN N,HANGING AT THE BEACH,BITCHEN?
BGREDII,BIG RED 2,RED-GANG COLOR
BIRD 4O8,NICK NAME,SAN JOSE AREA CODE
BLZDEEP,CAPTAIN OF THE BLZ DIVING TEAM,BALLS DEEP
B MFB,BRETT MOUNTAIN FANATIC BERGSTRAND,MFB-MOTHER FUCKING BEAST
BOINK,ANIME CHARACTER NAME,SLANG FOR SEX
BAMF V8,INTIALS AND V8,BAD ASS MOTHER FUCKER
BUD TEE,NAME IS BUD AND I LIKE GOLF,"GOOGLE SHOWS A T-SHIRT PLACE WITH MARIJUANA ON THEM ""BUD"" IS POT. NOT HIS NAME"
CHEBS,CHILDHOOD NICKNAME,URBANS SAYS SLANG FOR BREATS, GOOGLE IMAGES SHOW BREAST
CHOLOLO,NICKNAME,CHOLO IS GANG SLANG
D PATH88,DAMON'S PATHFINDER 1988,88-HITLER RELATED
D3C14 3M,DECIPHER ME- WRITTEN USING NUMBERS IN CERTAIN PLACES,14-GANG NUMBER
EFF MPG,FORGET GAS MILEAGE,EFF-SLANG FOR FUCK
FOLEY14,GOT MARRIED WITH NEW LAST NAME AND YEAR,14-GANG NUMBER
JEFE 8O5,JEFE IS DAD IN SPANISH AND 805 IS THE AREA CODE OF WHERE MY DAD OWNED HIS FIRST 1969 TRUCK. IN SHORT JEFE 805 MEANS MY DADS TRUCK IN SANTA BARBARA,8O5 SANTA BARBARA AREA CODE
JEEPNTT,JEEPING TOM & TRACY,"GUY ORDER 2 PLATES BOTH WITH TT ON THEM WHICH IS PENIS IN TAGALOG. HE HAS A LOT OF CARS BUT I CAN ONLY SEE 1 JEEP AND HIS NAME STARTS WITH A ""T"""
JEPN TT,JEEPING TRACY & TOM,SEE ABOVE
LAFC 13,LOS ANGELES FOOTBALL CLUB #13,13-GANG NUMBER
LV MSHN,LOVE MY MACHINE,LOVE MACHINE? I THINK WE HAD SOMETHING SIMILAR THAT WAS PULLED.
MIKE619,MY NAME AND AREA CODE,618 SAN DIEGO AREA CODE
MMAP88,FAMILY INTIALS AND LUCKY NUMBERS,88-HITLER RELATED
MONKYLV,THIS VEHICLE IS A MINI AND WE ALWAYS TRAVEL WITH OUR ANIMALS WHICH WE REFER TO AS MONKY'S….THERE FOR MONKYLV,MONEKY HAS 2 SLANG MEANINGS RACIAL AGAINST AFRICAN AMERICANS AND CAN BE SLANG FOR VAGINA
MY13CAM,I OWN A 2013 CAMARO,13-GANG NUMBER
NA145TV,CALIFORNIA NATIVE 415 AREA CODE,415 SAN FRAN AREA CODE
NO BOPS,"IN MY FOREIGN LANGUAGE ""BOPS"" MEAN TAILGATERS. AS A RESULT, THE LICEANSE PLATE WILL MEAN ""NO TAILGATERS"".",URBAN/GOOGLE BOTH SAY IT MEANS BLOWJOBS
PANAM18,OLD NICK NAME DOE PARIS, FRANCE AND REFERENCE TO THE 18TH DISTRICT,18-HITLER RELATED
PB13Y27,NOTHING,13-GANG NUMBER
PLUM KTY,PLUM KITTY,GOOGLE SHOWS A LINGERIE SHOP? KITTY CAN BE SLANG FOR VAGINA
POONHND,NICKNAME,POON IS SLANG FOR VAGINA
PRIIKLR,PRII KLEANER,KILLER?
RAAACK,FAMILY NICKNAME,RACK IS SLANG FOR BREAST
RAINSUX,THE CAR IS A CONVERTIBLE ROADSTER,SUX-SUCKS
REDROST,THE RED ROOSTER,RED-GANG COLOR
REDSVEN,RED SEVEN,RED-GANG COLOR
RED5XWG,RED 5 X-WING,RED-GANG COLOR
R2O9LSX,CAR CLUB ONLINE USER NAME,209 TRACY AREA CODE
SHAAN 88,SHAAN IS MY NICKNAME,88-HITLER RELATED
S KIKE,PERSONAL NICKNAME,KIKE IS A RACIAL SLUR TOWARDS JEWISH PEOPLE
SMKWEED,SMOKE WEED,SMOKE WEED/MARIJUANA
TGOD RAW,ARTIST NAME,RAW-SEX WITHOUT CONDOM
TNKBLUE,LOS ANGELES DODGERS MOTTO,BLUE-GANG COLOR
TNT CHK,TINT CHICK )I TINIT WINDOWS),TNT-EXPLOSIVES?
TRD SER1,TOYOTA RACING DEVELOPMENT SERIES 1.0,TRD-RETARD? DOES HAVE A TOYOTA
UNIX 69,UNIX IS A COMPUTER OPERATING SYSTEN WHICH WAS DEVLOPED AROUND 1969,NO 69 CAR
VJJ 21,MY FULL INTIALS AND MY FAVORITE NUMBER,VJJ-IS SLANG FOR VAGINA. IT IS HIS INTIALS
WHYTRSH,WHY TRASH,WHITE TRASH
2DEEP4U,I'M AM A DEEP THINKER, THAT YOU CAN'T UNDERSTAND,CAN BE SEXUAL
66BDASC,1968 SINGLE CAB,66 BAD ASS
88 FORD,1988 FORD TRUCK,88-HITLER RELATED. DOES HAVE A 88 REGISTERED
88 FTW,MY CAR IS A 1988,"88-HITLER RELATED.  DOES HAVE A 88 REGISTERED BUT ""FTW"" FUCK THE WORLD"
916 MVRS,916MOVERS IS MY HUSBANDS BUSINESS NAME,916 SACRAMENTO AREA CODE
NGAWDZ#,OIN GODS HAND,NGA-NIGGA?
TRGATLO,EAT MY DUST IN SPANISH,"MEANS ""EAT IT"" BUT IN A DIFFIRENT WAY PER DAVID"
BYGMFU,LAST NAME OF FALLEN SOLDIERS,FU-FUCK YOU. VET PLATE
BRK BKS,BREAK NECKS,BREAK NECKS?
CAL BLU,CAL BLUE,BLUE-GANG COLOR
DATATHO,A PHRASE THAT IS UDED TO DISCUSS AN OBJECTS OR IDEA. IT IS USED TO POINT OUT ANYTHING, IN THIS CASE A FORD MODEL A,"SAW ""HO"" WHORE BUT HE DOES HAVE A 32 FORD"
FKN MOVE,FRICKEN MOVE OVER. INSIDE JOKE BETWEEN ME AND MY WIFE,FUCKEN MOVE
HLNBALZ,HAULIN' BALLS,HALEN BALLS
INKPIGG,PERSONAL NICK,PIG?
KUSH3O2,CAR NICKNAME,KUSH IS A STRAIN OF MARIJUANA AND ALSO A MAGAZINE ABOUT IT
O FOXGVN,FOX BODY MUSTANG,ZERO FUCKS GIVEN
OMW2FYA,ON MY WAY TO FEED YOUR ANIMAL,ON MY WAY TO FUCK YOU
REDDFOX,MY NICKNAME,RED-GANG COLOR
SB 31O,SOUTH BAY AREA CODE 310,310 LA AREA CODE
SUKHI 13,FAMILY GIVERN NAME,13-GANG NUMBER
88CLACK,CLASSIC CAR OF 1988,88-HITLER RELATED. DOES HAVE A 88 REGISTERED
88KLACK,1988 CLASSIC CAR,SAME GUY AS ABOVE HE HAS 2 88 CARS REGISTERED
TACO 157,NO MICRO,TACO-VAGINA
18A4RE,NO MICRO,18-HITLER
88ML888,NO MICRO,88-HITLER
BUSHI1O,SAMURAI 2010,BUSHY 10.. BUSHY DIME? VAGINA?
CODE 51O,POLICE CODE 51O: SPEEDING OR RACING VEHICLE,CA AREA CODE
F KABIRI,MY SONS FIRST NAME INITIAL AND LAST NAME,FUCK KABIRI
INK PIG,HAVE LOTS OF TATTOOS,PIG
KGTOFH8,KUCHAREK'S (LAST NAME) GT OF H-8 (VEHICLE IS GT WITH 8 CYLINDER ENGINE),KNIGHT OF HATE
MINZ51O,NO MICRO,CA AREA CODE
OG MINI,ORIGINAL MINI,OG
SCAL619,SOUTHERN CALIFORNIA 619,CA AREA CODE
SIGI2O9,THE AREA CODE I LIVE IN,CA AREA CODE
SIK BISH,BISHOP CA,SICK BITCH
SLW AF,SLOW AMERICAN FAN,SLOW AS FUCK
WT RABIT,COMPANY NAME,MULTIPLE DRUG REFRENCES
2BIG4U,ITS YOU BIG FOR YOU,TOO BIG CAR..DICK?
88HENRY,YEAR OF BIRTH AND LAST NAME,88-HITLER. BIRTH YEAR CONFIRMED
GLD DRGN,NO MICRO,COULD BE SLANG FOR LSD
LADS13,NO MICRO,13-GANG
65O BOLT,NO MICRO,CA AREA CODE
N8Z$GRL,NATE'S GIRL. HE IS MY HUSBAND,NATES GIRL…. NAZI GIRL
U$DACOK,YOU LOVE THE COOK,YOU LOVE THE COCK
CAMI BUS,MY DUGHTER'S NAME AND MY CAR,"CANNIBUS WITH AN ""M"""
FN PITTS,NO MICRO,FUN PITS…FUCKIN PITS?
IKWEENB,ONE QUEEN B. B IS FOR MY LAST NAME (BURROUGH),QUEEN BEE…. BITCH?
EF 6,NO MICRO,EF-SLANG FOR FUCK
KKEL42O,NO MICRO,420-NATIONAL POT SMOKING DAY
MD 69XD,NO MICRO,NO 69 VEHICLE ON RECORD
SCOTT 14,NO MICRO,14-HITLER RELATED. DID ANI NO RECORD OF VEHICLES SO IF HE HAS A 2014 IT DOESN'T SHOW UP
VOCALMF,NO MICRO,MF-MOTHER FUCKER
MY COOTR,NO MICRO,"COOTER IS SLANG FOR VAGINA URBAN 451 UP 911 DOWN. ""COOTER"" IS CURRENT"
AF INC,COMPANY NAME,AF- AS FUCK.  IT IS HIS INTITALS
BCNAF,BE COOL NOT A FOOL,AF-AS FUCK.
BUZBOMB,"BUZZBOMB IS THE NAME OF A SONG BY THE 1980'S BAND THE DEAD KENNEDY'S IT IS THE NAME OF THE FAST CAR THE SONG IS WRITTEN ABOUT ""BUZZBOMB IS MY PRIDE AND JOY"" THE LYRICS SAY.",BUSS-STONED, BOMB-WEAPON
COLITA,IN A SONG BY THE EAGLES WARM SMELL OF COLITAS,COLITA IS MARIJUANA BUD. AND IT IS IN THE SONG HOTEL CALIFORNIA BY THE EAGLES
CTCH 14,OUR INTIls and the year we were married,14-HITLER RELATED.
DK PSNGR,REFERENCE TO A TV SHOW,DK-DICK?
EST6T9,YEAR I WAS BORN,NO 69 CAR
FATALEX,NICKNAME,HE IS CALLING HIMSELF FAT SO?
FUHRER,STRONG LEADER,ASSOCIATED WITH HITLER
HAMMRIT,"HAMMER IT… MEANING ""HAMMER THE THROTTLE"". IT’S A 4X4 AND I TAKE IT OFF ROADING.",HAMMER IT-COULD BE SEXUAL
HAUDIHO,HIDYHO BUT WITH AUDI,HO-WHORE
KYLORED,STAR WARS FAN COMBO OF CHARACTER'S NAME AND MY NICKNAME OF RED,RED-GANG COLOR
MUFC OO7,MANCHESTER UNITED FOOTBALL CLUB #7,FC-FUCK
OG BATMN,IT IS A CHILD NICKNAME,OG-ORIGINAL GANGSTER
ST TRUPR,STORM TROOPER,I SAW STATE TROOPER
YOURMAD,MEANS THEY'RE MAD,PROVOKING?
1MANMAN,1 MADMAN,"MADMAN?   ""MADMAN"" EXPIRED"
4CBK13,FOR CALVIN BRUCE KIRK (MY GRANDFATHER'S NAME) AND 13 IS MY LUCKY NUMBER,13-GANG NUMBER
619CHEF,CITY I LIVE AND LOVE. MY CAREER IS BEING A CHEF, I PUT THESE TWO TOGETHER TO CREATE THIS PLATE.,619 EL CAJON AREA CODE
5O KLBR,50 CALIBER,50 CALIBAR-GUNS
BIGSACK,BIGS AC IS KILLIN ME MEANING COLD COLD RIDING LIKE AC IS BLOWING FREEZING COLD.,BALLS. MC PLATE
BALS VET,NICKNAME & CORVETTE,BALLS? NAME IS ROBERTO
BBONGCO,NO MICRO,BONG IS SOMETHING YOU SMOKE MARIJUANA IN
F1OO183,NO MICRO,OLD PLACARD NUMBER
RBN 88,NO MICRO,88-HITLER RELATED
REDLYNE,NO MICRO,RED GANG COLOR
14 FLEX,NO MICRO,14-HITLER RELATED. NO 2014
69CRZIN,NO MICRO,NO 69 CAR
IH8IED,NO MICRO,HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE
CRPLHLR,NO MICRO,CRIPPLE HEALER?
CRPPL4X,NO MICRO,CRIPPLE? SAME GUY AS ABOVE
FISH HRD,NO MICRO,HARD?
/A2ZCARS/,My shop name,Sexual, looks like ASS CARS
BRN/PRD,Peoples first initial of names,Brown Pride, race
/DEALERS/,Not on micro,Drug dealer
GLC*48*/,Not on micro,Glock 48 hand gun
/M6OGNR/,Not on micro,M60 tank gunner weapon
/FISHNFU/,Not on micro,FISH AND FUCK YOU
/HEDMSTR/,I am a school principal head master,Sexual
MKW*ZO6/,Name initials and car model,1960's plate lookalike 3 letter 3 number
NOT/SOFT,The name of our business is not a soft target,Sexual
RT2CARRY,Second ammendment support,Gun control, may be offensive/conflict
/2SMOKE/,Not on QuickWeb,Smoking, potentially drug related
S5EUL8R/,Personal Meaning,Number as a letter
FORCE/FD,The car has foce induction feeing the motor,Force Feed, potentially violent meaning
EFIN363/,This is for elctronic fuel injected 363, size of engine,EFIN 363 sounds like Fucking 363
CYZMTRS/,Size Matters,Size Matters, potentially sexual
CYANIDE/,Survived an accidental consumption of cyanide when a child/nick name.,Poison
BLAK/RAG,Black 1964 Impala Convertible,Gang related *RAG* is on list of unacceptable
ABLKTHG,ITS A BLACK THING. THE CAR IS COMPLETLY  BLACK.,A BLACK 'THING' OR THUG
BG BLOO,BIG BLUE,BLUE, GANG COLOR
BKNBDYS,BROKEN BODIES,HOSTILE
BLUE442,THE CAR IS A BLUE 1965 OLDSMOBILE 442,blue=gang color. I don’t find this car on ani
BOANGKA,YOU'RE CRAZY IN VISAYAN (A DIALECT FROM THE PHILIPPINES),google translate says it means 'you fool' urban dictionary says it means 'you're crazy' but it is very harsh, like a curse word
BUBBY G,MY GRANDSON CALLS ME BUBBY G,bubby means grandmother, g=gangster but her name is Gloria
BUD G66,not on quickweb yet,bud=marajuana, g=gangster
CATBITE,I SUPPORT LOCAL CAT RESCUES AND ADMIRE THE ANIMALS ABILITY TO DEFEND ITSELF,CAT=PUSSY. HAS A DODGE
COKE S7,CHINESE NICKNAME,coke
DAJAAL,GRANDKID INITIALS,Dajjal is an evil figure in Islamic eschatology. He is to appear pretending to be the Masih (i.e. the Messiah) at a time in the future. (Islam's Antichrist) not out with correct spelling..
DICKEE,I NAMED THE TRUCK,PENIS, HER NAME ISNT RICHARD
